Rank,Team,Statistic
1,Orlando,0.475
2,Cleveland,0.48200000000000004
3,LA Lakers,0.48200000000000004
4,Miami,0.48200000000000004
5,Okla City,0.484
6,Boston,0.484
7,San Antonio,0.485
8,Milwaukee,0.485
9,Chicago,0.488
10,Indiana,0.49
11,Charlotte,0.493
12,Phoenix,0.494
13,Dallas,0.495
14,Utah,0.495
15,Denver,0.498
16,Atlanta,0.499
17,Washington,0.502
18,Portland,0.505
19,Sacramento,0.505
20,LA Clippers,0.509
21,Houston,0.511
22,Toronto,0.513
23,Brooklyn,0.517
24,Philadelphia,0.519
25,Memphis,0.52
26,New Orleans,0.523
27,Minnesota,0.525
28,Golden State,0.525
29,New York,0.526
30,Detroit,0.526
