Rank,Team,Statistic
1,Chicago,0.46299999999999997
2,Boston,0.469
3,Miami,0.475
4,Orlando,0.475
5,Milwaukee,0.48100000000000004
6,LA Lakers,0.48200000000000004
7,Indiana,0.485
8,Philadelphia,0.485
9,Dallas,0.48700000000000004
10,Okla City,0.48700000000000004
11,San Antonio,0.491
12,Atlanta,0.49200000000000005
13,Denver,0.499
14,LA Clippers,0.499
15,Memphis,0.5
16,Charlotte,0.5
17,Houston,0.5
18,New Orleans,0.501
19,Brooklyn,0.503
20,Utah,0.505
21,Golden State,0.509
22,Portland,0.509
23,New York,0.511
24,Washington,0.512
25,Sacramento,0.513
26,Phoenix,0.513
27,Minnesota,0.514
28,Toronto,0.522
29,Cleveland,0.524
30,Detroit,0.526
