Rank,Team,Statistic
1,New York,0.51
2,Utah,0.514
3,Philadelphia,0.519
4,Golden State,0.52
5,LA Lakers,0.526
6,Brooklyn,0.527
7,Atlanta,0.527
8,Phoenix,0.528
9,LA Clippers,0.532
10,Indiana,0.532
11,Milwaukee,0.532
12,Memphis,0.536
13,Dallas,0.537
14,Chicago,0.5379999999999999
15,Washington,0.539
16,San Antonio,0.54
17,Boston,0.541
18,Detroit,0.541
19,Miami,0.542
20,Toronto,0.5429999999999999
21,Portland,0.547
22,Okla City,0.547
23,Orlando,0.547
24,Denver,0.5489999999999999
25,New Orleans,0.55
26,Charlotte,0.552
27,Houston,0.555
28,Minnesota,0.556
29,Cleveland,0.556
30,Sacramento,0.557
