Rank,Team,Statistic
1,Milwaukee,0.486
2,Toronto,0.502
3,LA Clippers,0.503
4,Brooklyn,0.507
5,LA Lakers,0.509
6,Boston,0.51
7,Indiana,0.513
8,Utah,0.514
9,Dallas,0.519
10,Okla City,0.52
11,Memphis,0.52
12,Philadelphia,0.522
13,Miami,0.522
14,Portland,0.523
15,Denver,0.526
16,Houston,0.528
17,New Orleans,0.531
18,Orlando,0.535
19,Sacramento,0.54
20,New York,0.541
21,Minnesota,0.541
22,Detroit,0.541
23,San Antonio,0.542
24,Phoenix,0.5429999999999999
25,Atlanta,0.5429999999999999
26,Chicago,0.546
27,Charlotte,0.546
28,Golden State,0.5529999999999999
29,Cleveland,0.56
30,Washington,0.56
