Rank,Team,Statistic
1,Sacramento,0.501
2,Okla City,0.501
3,Dallas,0.49
4,Minnesota,0.485
5,Boston,0.485
6,Houston,0.48200000000000004
7,LA Lakers,0.48
8,Portland,0.478
9,Memphis,0.47700000000000004
10,Milwaukee,0.475
11,San Antonio,0.475
12,Phoenix,0.475
13,Golden State,0.475
14,New York,0.47100000000000003
15,Brooklyn,0.469
16,Indiana,0.467
17,Denver,0.466
18,Atlanta,0.465
19,Orlando,0.461
20,Miami,0.45899999999999996
21,New Orleans,0.457
22,Detroit,0.457
23,Utah,0.456
24,Philadelphia,0.456
25,Toronto,0.45399999999999996
26,Washington,0.45399999999999996
27,LA Clippers,0.45299999999999996
28,Cleveland,0.451
29,Chicago,0.446
