Rank,Team,Statistic
1,Miami,0.545
2,San Antonio,0.528
3,LA Clippers,0.524
4,Houston,0.523
5,Okla City,0.521
6,Atlanta,0.514
7,Denver,0.513
8,LA Lakers,0.51
9,New York,0.508
10,Golden State,0.507
11,Dallas,0.506
12,Boston,0.501
13,Portland,0.498
14,Brooklyn,0.496
15,Utah,0.49200000000000005
16,Sacramento,0.491
17,New Orleans,0.489
18,Toronto,0.488
19,Detroit,0.48700000000000004
20,Orlando,0.485
21,Philadelphia,0.48100000000000004
22,Indiana,0.478
23,Phoenix,0.47700000000000004
24,Milwaukee,0.47600000000000003
25,Washington,0.475
26,Cleveland,0.473
27,Minnesota,0.473
28,Chicago,0.47
29,Memphis,0.46799999999999997
30,Charlotte,0.46
