Rank,Team,Statistic
1,Phoenix,0.544
2,Orlando,0.535
3,Cleveland,0.531
4,Utah,0.524
5,Toronto,0.521
6,Boston,0.516
7,Golden State,0.514
8,San Antonio,0.512
9,Denver,0.509
10,New York,0.509
11,New Orleans,0.506
12,Dallas,0.503
13,Atlanta,0.5
14,LA Lakers,0.49700000000000005
15,Portland,0.49700000000000005
16,Philadelphia,0.496
17,Miami,0.495
18,Memphis,0.494
19,Houston,0.494
20,LA Clippers,0.491
21,Indiana,0.491
22,Sacramento,0.491
23,Charlotte,0.489
24,Okla City,0.489
25,Washington,0.48100000000000004
26,Milwaukee,0.48100000000000004
27,Minnesota,0.478
28,Chicago,0.47600000000000003
29,Detroit,0.474
30,Brooklyn,0.45799999999999996
