Rank,Team,Statistic
1,Phoenix,0.5479999999999999
2,San Antonio,0.519
3,Golden State,0.513
4,LA Lakers,0.509
5,Dallas,0.506
6,Miami,0.505
7,Milwaukee,0.504
8,Memphis,0.504
9,Brooklyn,0.503
10,Toronto,0.502
11,Orlando,0.5
12,Okla City,0.499
13,Utah,0.499
14,Denver,0.498
15,Houston,0.496
16,New York,0.494
17,Sacramento,0.491
18,Chicago,0.491
19,Minnesota,0.49
20,Washington,0.489
21,Detroit,0.485
22,Portland,0.483
23,LA Clippers,0.48100000000000004
24,Charlotte,0.48
25,Philadelphia,0.48
26,Cleveland,0.479
27,New Orleans,0.479
28,Boston,0.479
29,Indiana,0.474
30,Atlanta,0.47100000000000003
