Rank,Team,Statistic
1,Boston,0.578
2,Indiana,0.575
3,Milwaukee,0.573
4,Okla City,0.573
5,LA Clippers,0.5670000000000001
6,Phoenix,0.5670000000000001
7,LA Lakers,0.5660000000000001
8,Dallas,0.563
9,Sacramento,0.56
10,Denver,0.56
11,New Orleans,0.56
12,Minnesota,0.5579999999999999
13,Cleveland,0.555
14,Golden State,0.5529999999999999
15,Orlando,0.5429999999999999
16,Utah,0.541
17,Toronto,0.539
18,Atlanta,0.5379999999999999
19,Washington,0.537
20,Miami,0.534
21,New York,0.534
22,Brooklyn,0.532
23,Chicago,0.532
24,Houston,0.531
25,Detroit,0.531
26,San Antonio,0.53
27,Philadelphia,0.529
28,Charlotte,0.524
29,Memphis,0.513
30,Portland,0.509
