Rank,Team,Statistic
1,San Antonio,0.531
2,Okla City,0.515
3,Denver,0.51
4,Golden State,0.505
5,Miami,0.504
6,LA Clippers,0.502
7,Orlando,0.502
8,Phoenix,0.499
9,Atlanta,0.495
10,Houston,0.49200000000000005
11,Boston,0.49
12,New York,0.489
13,Portland,0.488
14,Dallas,0.48700000000000004
15,Chicago,0.48700000000000004
16,LA Lakers,0.485
17,Milwaukee,0.48100000000000004
18,Minnesota,0.47700000000000004
19,New Orleans,0.47600000000000003
20,Utah,0.47600000000000003
21,Toronto,0.475
22,Philadelphia,0.473
23,Brooklyn,0.473
24,Indiana,0.473
25,Washington,0.47200000000000003
26,Sacramento,0.47200000000000003
27,Memphis,0.47100000000000003
28,Detroit,0.46799999999999997
29,Cleveland,0.46299999999999997
30,Charlotte,0.439
