Rank,Team,Statistic
1,Phoenix,0.536
2,Miami,0.525
3,Boston,0.499
4,Sacramento,0.495
5,Okla City,0.494
6,San Antonio,0.494
7,Toronto,0.49200000000000005
8,Dallas,0.49200000000000005
9,Memphis,0.491
10,Minnesota,0.489
11,Houston,0.488
12,LA Lakers,0.485
13,New York,0.485
14,Portland,0.484
15,Denver,0.48100000000000004
16,Orlando,0.478
17,LA Clippers,0.47700000000000004
18,Milwaukee,0.475
19,Philadelphia,0.475
20,Golden State,0.475
21,Washington,0.473
22,Chicago,0.47100000000000003
23,Detroit,0.47100000000000003
24,Indiana,0.47100000000000003
25,Cleveland,0.47
26,Utah,0.469
27,Atlanta,0.46399999999999997
28,Brooklyn,0.461
29,Charlotte,0.455
30,New Orleans,0.446
