Rank,Team,Statistic
1,Milwaukee,0.5529999999999999
2,Utah,0.552
3,Miami,0.5489999999999999
4,LA Lakers,0.5479999999999999
5,Dallas,0.5479999999999999
6,Houston,0.539
7,New Orleans,0.5379999999999999
8,Toronto,0.536
9,Okla City,0.534
10,Indiana,0.5329999999999999
11,LA Clippers,0.532
12,Denver,0.532
13,Sacramento,0.531
14,Philadelphia,0.53
15,Memphis,0.53
16,Portland,0.53
17,San Antonio,0.529
18,Detroit,0.529
19,Boston,0.529
20,Washington,0.528
21,Phoenix,0.528
22,Cleveland,0.522
23,Chicago,0.515
24,Brooklyn,0.515
25,Atlanta,0.515
26,Minnesota,0.514
27,Charlotte,0.504
28,Orlando,0.503
29,New York,0.501
30,Golden State,0.49700000000000005
