Rank,Team,Statistic
1,Dallas,0.523
2,San Antonio,0.523
3,Denver,0.522
4,Phoenix,0.522
5,Boston,0.518
6,Orlando,0.517
7,Miami,0.517
8,Golden State,0.51
9,New York,0.509
10,Houston,0.503
11,LA Lakers,0.499
12,Utah,0.498
13,Okla City,0.498
14,Atlanta,0.49700000000000005
15,LA Clippers,0.496
16,Detroit,0.495
17,Chicago,0.494
18,New Orleans,0.493
19,Philadelphia,0.49200000000000005
20,Toronto,0.491
21,Memphis,0.489
22,Portland,0.48700000000000004
23,Indiana,0.483
24,Minnesota,0.483
25,Charlotte,0.48200000000000004
26,Sacramento,0.48
27,Brooklyn,0.475
28,Cleveland,0.47200000000000003
29,Washington,0.47100000000000003
30,Milwaukee,0.467
