Rank,Team,Statistic
1,Golden State,0.561
2,Milwaukee,0.546
3,Houston,0.541
4,Toronto,0.537
5,Utah,0.5329999999999999
6,San Antonio,0.532
7,Washington,0.531
8,Boston,0.53
9,Philadelphia,0.53
10,New Orleans,0.529
11,LA Clippers,0.527
12,LA Lakers,0.527
13,Indiana,0.527
14,Sacramento,0.524
15,Portland,0.524
16,Denver,0.522
17,Atlanta,0.522
18,Dallas,0.519
19,Brooklyn,0.517
20,Miami,0.515
21,Orlando,0.514
22,Phoenix,0.514
23,Charlotte,0.514
24,Okla City,0.514
25,Minnesota,0.511
26,Memphis,0.508
27,Detroit,0.505
28,Chicago,0.505
29,Cleveland,0.503
30,New York,0.49
