Rank,Team,Statistic
1,Miami,0.555
2,San Antonio,0.539
3,Houston,0.528
4,Dallas,0.524
5,LA Clippers,0.524
6,Phoenix,0.519
7,Golden State,0.517
8,Okla City,0.515
9,Brooklyn,0.514
10,Atlanta,0.511
11,New York,0.505
12,LA Lakers,0.505
13,Washington,0.502
14,Portland,0.501
15,Toronto,0.498
16,Denver,0.49700000000000005
17,New Orleans,0.495
18,Indiana,0.49200000000000005
19,Memphis,0.49
20,Orlando,0.48700000000000004
21,Minnesota,0.486
22,Utah,0.484
23,Sacramento,0.484
24,Detroit,0.48200000000000004
25,Charlotte,0.48100000000000004
26,Milwaukee,0.479
27,Cleveland,0.479
28,Boston,0.47700000000000004
29,Philadelphia,0.475
30,Chicago,0.47
