Rank,Team,Statistic
1,Golden State,0.555
2,Cleveland,0.528
3,San Antonio,0.525
4,Okla City,0.52
5,LA Clippers,0.52
6,Atlanta,0.514
7,Houston,0.511
8,Washington,0.511
9,Sacramento,0.51
10,Portland,0.508
11,Miami,0.507
12,Utah,0.501
13,Dallas,0.501
14,Orlando,0.5
15,Milwaukee,0.499
16,Minnesota,0.498
17,New Orleans,0.498
18,Indiana,0.49700000000000005
19,Charlotte,0.496
20,Toronto,0.496
21,Detroit,0.493
22,Brooklyn,0.49200000000000005
23,Denver,0.489
24,Phoenix,0.48700000000000004
25,Chicago,0.48700000000000004
26,Philadelphia,0.48700000000000004
27,Boston,0.485
28,New York,0.483
29,Memphis,0.474
30,LA Lakers,0.46
