Rank,Team,Statistic
1,Golden State,0.536
2,LA Clippers,0.53
3,Atlanta,0.52
4,San Antonio,0.516
5,Dallas,0.513
6,Cleveland,0.512
7,Houston,0.511
8,Toronto,0.506
9,Portland,0.505
10,Phoenix,0.501
11,New Orleans,0.5
12,Miami,0.5
13,Washington,0.499
14,Utah,0.494
15,Orlando,0.494
16,Milwaukee,0.493
17,Okla City,0.49200000000000005
18,Brooklyn,0.49
19,Sacramento,0.49
20,Boston,0.48700000000000004
21,Chicago,0.48700000000000004
22,Memphis,0.485
23,Indiana,0.484
24,Detroit,0.48200000000000004
25,Denver,0.479
26,LA Lakers,0.473
27,New York,0.47
28,Minnesota,0.46799999999999997
29,Philadelphia,0.45899999999999996
30,Charlotte,0.456
