Rank,Team,Statistic
1,Phoenix,0.5479999999999999
2,Orlando,0.536
3,LA Lakers,0.522
4,Utah,0.522
5,Boston,0.514
6,Golden State,0.511
7,New Orleans,0.51
8,Toronto,0.509
9,Denver,0.508
10,Sacramento,0.503
11,San Antonio,0.502
12,Memphis,0.5
13,Dallas,0.499
14,Indiana,0.498
15,Detroit,0.494
16,Charlotte,0.49200000000000005
17,Portland,0.49
18,Houston,0.489
19,Washington,0.48700000000000004
20,Minnesota,0.484
21,Milwaukee,0.48200000000000004
22,Miami,0.48200000000000004
23,Brooklyn,0.48100000000000004
24,Atlanta,0.48
25,Philadelphia,0.479
26,Cleveland,0.478
27,New York,0.475
28,Chicago,0.47
29,Okla City,0.467
30,LA Clippers,0.465
