Rank,Team,Statistic
1,Brooklyn,0.5720000000000001
2,Utah,0.565
3,LA Clippers,0.565
4,Phoenix,0.56
5,Milwaukee,0.557
6,Denver,0.5539999999999999
7,Golden State,0.55
8,Sacramento,0.5489999999999999
9,Dallas,0.5479999999999999
10,Chicago,0.547
11,Philadelphia,0.544
12,Indiana,0.5429999999999999
13,Portland,0.542
14,Miami,0.541
15,Boston,0.54
16,New Orleans,0.537
17,Atlanta,0.535
18,Charlotte,0.532
19,LA Lakers,0.531
20,Toronto,0.529
21,Washington,0.529
22,Memphis,0.526
23,Houston,0.521
24,Minnesota,0.52
25,New York,0.52
26,Detroit,0.519
27,San Antonio,0.515
28,Okla City,0.509
29,Cleveland,0.508
30,Orlando,0.49
