Rank,Team,Statistic
1,Golden State,0.564
2,Cleveland,0.5529999999999999
3,Houston,0.541
4,LA Clippers,0.536
5,Denver,0.53
6,Boston,0.526
7,Milwaukee,0.526
8,Utah,0.525
9,Washington,0.525
10,San Antonio,0.522
11,Portland,0.517
12,Indiana,0.516
13,Sacramento,0.516
14,Toronto,0.514
15,Miami,0.512
16,Minnesota,0.511
17,Brooklyn,0.507
18,Dallas,0.505
19,New Orleans,0.504
20,Atlanta,0.503
21,Philadelphia,0.501
22,LA Lakers,0.501
23,Charlotte,0.501
24,Okla City,0.499
25,New York,0.496
26,Phoenix,0.493
27,Memphis,0.49200000000000005
28,Detroit,0.49200000000000005
29,Orlando,0.489
30,Chicago,0.48700000000000004
