Rank,Team,Statistic
1,Phoenix,0.545
2,Boston,0.521
3,Orlando,0.519
4,Cleveland,0.517
5,Denver,0.514
6,San Antonio,0.512
7,LA Lakers,0.512
8,Portland,0.509
9,Dallas,0.506
10,New York,0.503
11,Utah,0.502
12,Indiana,0.501
13,Miami,0.5
14,Houston,0.5
15,Atlanta,0.498
16,New Orleans,0.498
17,Brooklyn,0.49700000000000005
18,Golden State,0.49700000000000005
19,Charlotte,0.494
20,Toronto,0.494
21,Chicago,0.49200000000000005
22,Sacramento,0.49
23,Memphis,0.486
24,Philadelphia,0.485
25,Milwaukee,0.483
26,Minnesota,0.48200000000000004
27,LA Clippers,0.48100000000000004
28,Detroit,0.48100000000000004
29,Washington,0.48
30,Okla City,0.47100000000000003
