Rank,Team,Statistic
1,Denver,0.555
2,Golden State,0.5539999999999999
3,Utah,0.551
4,Phoenix,0.55
5,Charlotte,0.5429999999999999
6,Atlanta,0.542
7,Brooklyn,0.542
8,Milwaukee,0.54
9,Miami,0.54
10,Boston,0.54
11,Dallas,0.54
12,Minnesota,0.5379999999999999
13,Cleveland,0.537
14,LA Lakers,0.537
15,Chicago,0.537
16,Philadelphia,0.536
17,Houston,0.534
18,Washington,0.532
19,Indiana,0.531
20,LA Clippers,0.53
21,San Antonio,0.527
22,Sacramento,0.525
23,Memphis,0.521
24,New Orleans,0.518
25,Portland,0.515
26,New York,0.513
27,Toronto,0.51
28,Orlando,0.502
29,Okla City,0.49700000000000005
30,Detroit,0.494
