Rank,Team,Statistic
1,Phoenix,0.537
2,Miami,0.519
3,San Antonio,0.516
4,Boston,0.504
5,Okla City,0.504
6,Toronto,0.5
7,Orlando,0.496
8,Memphis,0.496
9,LA Lakers,0.495
10,Detroit,0.494
11,Milwaukee,0.493
12,Dallas,0.49200000000000005
13,Sacramento,0.491
14,LA Clippers,0.491
15,Cleveland,0.489
16,Chicago,0.488
17,Philadelphia,0.48700000000000004
18,Indiana,0.48700000000000004
19,Atlanta,0.486
20,Washington,0.485
21,Denver,0.48200000000000004
22,New York,0.48100000000000004
23,Minnesota,0.48
24,Golden State,0.479
25,Brooklyn,0.479
26,Portland,0.474
27,Houston,0.47100000000000003
28,Utah,0.467
29,Charlotte,0.46399999999999997
30,New Orleans,0.46399999999999997
